"X","name","image","reviewCount","rating","publishedDate","respondDate","verifiedOrder","title","content","reply","contentLength","id","sentiment"
261,"Jason Organ",NA,1,NA,"2019-10-25","2019-10-31",FALSE,"Not great customer experience or customer service","although the setting up of the account was very easy and i certainly would not complain about that, after activating my card and getting the pin number from the app, topping up the card with some of my wages i tried to use the card to withdraw some money and make a card payment - these were declined for no reason","Hello Jason!We're very sorry to hear you're having a bad experience with Monese. We're working every day as much as we can to improve our communication with customers and your feedback will definitely be shared with the relevant team.We see that you have already been advised about the issue via chat conversation. If necessary, please follow the instructions provided for this to be solved as quickly as possible.We apologize for any inconvenience and we'll always be available for any questions that you may have :)All the best,The Monese team",788,261,-0.69364161849711
264,"Ruben",NA,1,NA,"2019-10-25","2019-10-30",TRUE,"Love it"," i can pull money from other cards that dont allow it","Hey Ruben!We're glad that you're satisfied with your Monese account! Enjoy!",86,264,-0.289017341040463
275,"Beverly Ann",NA,1,NA,"2019-10-23",NA,TRUE,"Quick and easy account to set up","quick and easy account to set up, only had the account a week so all good so far",NA,80,275,0.115606936416185
280,"Ed",NA,1,NA,"2019-10-23","2019-10-25",FALSE,"They block my account","they block my account , and no response from them",NA,50,280,-1.01156069364162
284,"Jiri Mares",NA,1,NA,"2019-10-23",NA,TRUE,"I am very satisfied with the Monese…","i am very satisfied with the monese account",NA,162,284,-0.202312138728324
295,"Michael Trezise","https://user-images.trustpilot.com/5c8957a0f5e8c280b2741209/73x73.png",5,NA,"2019-10-22","2019-10-25",FALSE,"do they know what customer service is ?","ive been trying to contact with this business and im getting no replys. my app just says please bear with us your account is being verifiedyet on this website they are quick to reply to positive comments whats going on ?",NA,302,295,0.46242774566474
297,"Eudilene Von Gerhardt",NA,2,NA,"2019-10-22","2019-11-06",FALSE,"Fraudulent transactions"," i've been begging for monese to help me with my issue and refund my money but it has been a painful stress","Witaj Krzysiek,Przepraszamy za niedogodności! Widzimy, że nasz zespół wsparcia już skontaktował się z Tobą w sprawie tego błędu technicznego i problem został rozwiązany. Daj im znać, jeśli potrzebujesz czegoś jeszcze, a chętnie Ci pomogą.Przepraszamy za niedogodności.Z poważaniem,Zespół Monese",531,297,-0.982658959537573
298,"customer",NA,2,NA,"2019-10-22","2019-11-06",FALSE,"Ho attivato questo conto da alcuni mesi…"," le  stelle che ho assegnato  per un ennesimo episodio che si  verificato in questi giorni, da giorno  ottobre ho inviato un bonifico sepa di soli , e me lo tengono ancora in attesa dopo  giorni congelando i miei soldi e facendomi fare una pessima figura con il cliente beneficiario che ancora si deve vedere accreditati i soldi.mi auguro di poter avere risolto il problema al pi presto","Hello Eudilene!We're extremely sorry to hear that you had your card details compromised. Unfortunately, we cannot control such situations as we do not have control of where customers use their cards.However, seems like that this issue has already been solved and that you were refunded successfully. Perfect!Again, our apologies for any inconvenience and if the reimbursement process seemed exhausting for you, but please understand that we have procedures to follow in such situations which not always are defined by Monese.All the best,The Monese team",1296,298,-0.92485549132948
301,"Alejandro Castellanos",NA,1,NA,"2019-10-22","2019-10-30",TRUE,"Muy buen servicio cero comisiones y la…","muy buen servicio cero comisiones y la agregu a wallet hecho que me parece muy novedoso y moderno","¡Hola! Alejandro¡Siempre es sorprendente saber de clientes satisfechos!¡Gracias por su honesta revisión y esté atento! Tendremos actualizaciones sobre nuevos productos pronto :)",231,301,-0.780346820809249
310,"Jaroro Glutko",NA,1,NA,"2019-10-21",NA,FALSE,"Witam posiadam to konto ale mi…","witam posiadam to konto ale mi zablokowali wyszyaam do nich email dzwoniam przyszamam informacje jakich odemnie wymagali ale nadal nic a pieniodze sa mi potrzebne na czynsz  zablokowane co daleij?","Hello, Eugenia,Thank you so much! We will pass your comment on to our team! All the best,The Monese Team",205,310,-0.780346820809249
312,"Ioana",NA,1,NA,"2019-10-21",NA,TRUE,"Very good in case of no bank account","came to england last month and had no bank account",NA,74,312,-0.780346820809249
317,"customer",NA,2,NA,"2019-10-21",NA,FALSE,"from past thurday until now ,no one…","from past thurday until now ,no one person answer from monese app or support why the money transfered from a belgian bank account to new be monese account not arrive yeat on monese accout",NA,213,317,0.317919075144508
329,"Jevgenij",NA,1,NA,"2019-10-19","2019-10-21",TRUE,"Very well organized application and…","very well organized application and obtaining the account and card","Hi, Jevgenij,Thank you so much! We are extremely happy to hear your positive feedback.All the best,The Monese Team",98,329,0.491329479768786
